,Principal Components,k,leaf_size,P,algorithm,weights,cv_mean,r2_test
0,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 16)",5,1,2,ball_tree,uniform,0.8125150384014473,0.9587708754635496
23,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 16)",5,1,2,ball_tree,uniform,0.8125150384014473,0.9587708754635496
1,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 16)",5,1,2,ball_tree,uniform,0.8125150384014473,0.9587708754635496
13,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 16)",5,1,2,ball_tree,uniform,0.8125150384014473,0.9587708754635496
10,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 9)",7,1,2,brute,distance,0.8040323891356251,0.9606092194175974
12,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 9)",7,1,2,brute,distance,0.8040323891356251,0.9606092194175974
42,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 9)",7,1,2,brute,distance,0.8040323891356251,0.9606092194175974
7,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 18)",7,1,2,brute,distance,0.8012560434672175,0.9624818163046908
19,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 18)",7,1,2,brute,distance,0.8012560434672175,0.9624818163046908
8,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 18)",7,1,2,brute,distance,0.8012560434672175,0.9624818163046908
22,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 18)",7,1,2,brute,distance,0.8012560434672175,0.9624818163046908
20,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 18)",7,1,2,brute,distance,0.8012560434672175,0.9624818163046908
21,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 18)",7,1,2,brute,distance,0.8012560434672175,0.9624818163046908
6,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 18)",7,1,2,brute,distance,0.8012560434672175,0.9624818163046908
9,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 18)",7,1,2,brute,distance,0.8012560434672175,0.9624818163046908
26,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 24)",7,1,2,brute,distance,0.8012110699882342,0.9634627041648729
34,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 24)",7,1,2,brute,distance,0.8012110699882342,0.9634627041648729
11,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 24)",7,1,2,brute,distance,0.8012110699882342,0.9634627041648729
14,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 24)",7,1,2,brute,distance,0.8012110699882342,0.9634627041648729
4,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
33,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
32,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
31,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
30,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
39,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
40,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
41,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
2,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
3,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
5,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
18,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
17,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
16,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
15,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
38,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 27)",7,1,2,brute,distance,0.8003525764649565,0.9609990063517021
37,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 4)",5,1,2,brute,distance,0.7893509048693623,0.97423843989956
28,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 4)",5,1,2,brute,distance,0.7893509048693623,0.97423843989956
36,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 4)",5,1,2,brute,distance,0.7893509048693623,0.97423843989956
35,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 4)",5,1,2,brute,distance,0.7893509048693623,0.97423843989956
29,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 4)",5,1,2,brute,distance,0.7893509048693623,0.97423843989956
27,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 4)",5,1,2,brute,distance,0.7893509048693623,0.97423843989956
24,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 13)",5,1,2,brute,distance,0.7843694733351092,0.9755538627368405
25,"(0, 1, 6, 14, 20, 15, 19, 10, 7, 28, 5, 29, 17, 25, 13)",5,1,2,brute,distance,0.7843694733351092,0.9755538627368405
