Confidence %,Form,Temper,Cu,Pb,Zn,Fe,P,Ni,sn
100.0,wire,Precipitation Heat Treated or Spinodal Heat Treated and 1/2 Hard,97.55,0.6,0.05,0.05,0.2,1.5,0.05
100.0,wire,Precipitation Heat Treated or Spinodal Heat Treated and 1/2 Hard,97.75,1.0,0.05,0.05,0.2,1.0,0.05
100.0,strip,Extra Hard,88.5,0.05,10.96,0.03,0.06,0.8,0.7
92.5,products,Extra Hard,94.977,0.054,3.112,0.032,0.215,0.859,0.751
92.5,products,Extra Hard,96.594,0.051,0.051,0.051,0.203,1.017,2.034
92.5,wire,Extra Hard,88.51,0.905,9.924,0.027,0.0,0.0,0.634
92.5,products,Precipitation Heat Treated or Spinodal Heat Treated and 1/2 Hard,96.018,1.011,0.051,0.03,0.061,0.809,2.021
92.5,products,Precipitation Heat Treated or Spinodal Heat Treated and 1/2 Hard,96.099,0.985,0.049,0.049,0.059,0.788,1.97
92.5,products,Precipitation Heat Treated or Spinodal Heat Treated and 1/2 Hard,95.929,0.983,0.049,0.03,0.059,0.983,1.967
92.5,products,Precipitation Heat Treated or Spinodal Heat Treated and 1/2 Hard,95.91,0.983,0.049,0.049,0.059,0.983,1.966
